reviews,sentiments
latest affront. stood first class line hour. finally go front ba agent let 4 supposed vips 12-14 large to-be-checked bags front us. arrogant unapologetic. add long list post-covid disappointments. done ba.,
"tried check line informed possible. given reason this. telephoned ba customer service must wasted nearly 2 hours given wrong phone numbers incorrect information. staff need customer training, better knowledge product, manners. ba customer service virtually non existent. never fly again.",Negative
"catalogue failures. flew belfast heathrow week ago flight delayed three half hours. missed onward air canada flight calgary result. arriving calgary re-routing via vancouver added 6 hours journey met passengers also missed air canada flight british airways flight manchester also delayed several hours. way home find heathrow belfast flight, already cancelled put back 2 hours, delayed another 2 hours. avoid british airways like plague.",Negative
"flight dubrovnik painful time 6:30 morning london gatwick, easy airport get hour especially airport minimum 2hrs ready board. understand likes easyjet, ryanair wizzair fly odd times utilise cheaper slots airports, seems odd choice ba given people like us fly choose based quality price alone. outbound lgw-dbv: boarding fairly quick, easy efficient took time. pilot announcements clear, professional inspired confidence something appreciate expect ba pilots. aircraft clean recent refurbishment program yet advantage 'pinnacle' seats economy still padding adjustable winged headrests better comfort. complimentary harrogate mineral water given usual premium touch, complimentary snack nutrigain bar poor premium however. cabin crew felt unpolished presentation behaviour - messy ill-fitting uniforms unclassy make-up. toilets clean maintained, appreciate anti-bacterial wipes kept available post-covid. inbound dbv-lgw: reason online app check-in available, despite dubrovnik airport modern airport state art facilities. queue manual check-in though, ground staff warm, friendly helpful. pro-actively offered take larger hand-luggage hold free charge, decided keep us would dash train home airport trains end cancelled already. understand delay flight inbound flight day took time landed time. also travelled dubrovnik season, airport empty hour, services available solely flight taking evening. passengers terminal time including us take flight. boarded time sat gate 15 minutes reason. truly bizarre ba managed take late services airport operating live solely purpose enabling flight take off. pilots flight unpolished, unclear announcements - flight one even remember flying back to! apology delay. cabin crew bit smarter presented seemed approachable. harrogate water given worlds tiniest bag pretzels complimentary. seats flight horrendous new 'slimline' ones ba installing row 14 onwards. seats barely padding, hard also headrests hard get comfortable. landed 55 minutes late gatwick apology given - lucky catch last uncanceled train home otherwise we'd stranded hours. we'd spent half hour circling gatwick missed original landing slot. given 7 context short-haul market thats deserve - fly ba fly low-cost carriers many bad experiences, measure good, least bad option. given 1 point extra solely giving something complimentary onboard.",Negative
"plane hour late leaving, problem happen. arrival heathrow, plane sits runway 45 minutes free stand go to. stand waited another 45 minutes bridge available enable us get plane. pathetically inefficient.",Negative
"usual shambolic unfolding ba unfortunately come known for. long weekend flight booked munich supposed departing 9th february 19:55. happened first flight newborn 3 month old daughter. turned horror show incompetence. 3hrs scheduled departure, original 9th february flight cancelled. received email boarding heathrow express. id booked day holiday work trip. ended getting round trip paddington instead. way back cancelled flight, wife tried calling ba. despite one us silver membership possibly largest joke membership currently there, took us nearly 45 minutes speak someone could help. believe ba outsource call centres end talking people following script. result might well speaking ai rather human. often received response similar ‘computer says no. service level silver members cant imagine regular punter put with. phone originally connected person, wait 5 minutes computer booted up. - ba proceeded auto-book us onto new flight next day going different destination. original flight munich auto-booked replacement flight salzburg. asking robot ba call centre booked us replacement flight location 135km apart, couldnt understand frustration. eventually, someone able book us onto flight following day 17:00. ideal id wasted valuable day work hotel wouldnt refund us move booking, least going munich salzburg. - day new flight came round and, time, managed get way check desk. upon arriving check desk, told rebooked flight cancelled 4 minutes earlier. email. text. notification ever arrived ba tell us flight cancelled. incomprehensible could possibly happened. check person said get app rebook. point, didnt know whether explode anger cry. luckily, another check person ounce sympathy explained useless check person could actually rebook us. booked onto another flight later evening 19:55 - ba0958. unfortunately, meant 5hrs grotty lounge 3 month old baby. appears everyone access lounge theres really difference lounge hostel, get free stuff former. pleasant experience. eventually arrive munich and, despite asking, didnt get push chair/stroller delivered front plane. plane characteristically ba dumping ground - used give sanitising wipes could clean seat tray table seemed cut back service too. all, another shocking ba service. lost day holiday ounce empathy/sympathy/understanding employees interacted with.",Negative
"incoming outgoing flight delayed french air traffic controllers strike routed germany, ba's fault. arrival pilot announced could pull onto stand ground crew showed turn automatic last metre guidance. took around 40 minutes find someone. done delay ground staff operate skybridge. told trapped plane hour within metres gate. total disruption, wasted time. absolutely excuse this.",Negative
"back december family getting onto plane refused. even though boarding passes seats allocated booked 6 months advance refused. turns someone turned work let passengers plane. quite randomly 9 people selected turned away. selected check luggage easier boot us despite knowing circumstances, connecting flights london etc. sought compensation ba told could absolute nightmare process been. acknowledge complaint family authorisation letter saying could act behalf. even though, booked paid tickets. so, uploaded authorisation letter less 10 times. every time told received every time followed told hadn't. way except post australia uk office. eventually, finally go them. chased reimbursement four times. time tell sent patient. today tell need check account details. so, again, send information done before. wait patiently reimbursement. convinced business model get frustrated go away. well, know won't.",Negative
"usual flight delayed week, already 3 hours im held bus waiting get taken plane. really cant explain much detest british airways. cheap budget airline could accept it, its premium prices unreliable service.",Negative
"short ba euro trip ba excel. clean aircraft, good crew, professional, time within lhr standards good value product delivered. pity flight food sales bit exciting appealing asked non existent hot food options. good overall. check self service great know use plenty assistance hand cant.",Positive
"australia friday night, went online book flight heathrow malpensa milan. realise specifically searched flights malpensa offered options airports milan. received itinerary email, another airport milan. itinerary email provide means contact changes advise 24 hour cooling period. weekend unable reach office monday advised refund fees missed 24 hour cooling period. apparently ticket issued uk, needed contact them. cancelled ticket going way future avoid flying british airways.",Negative
"7.54 day travel whilst driving london heathrow received email advising flight cancelled. offered alternative flight american airlines alternative accept must travel today. flying la see family member end life. american airlines desk downgrade cabin premium economy economy. tried 3 times ba provide telephone number, total useless, help, given wrong email address sending complains given email. ba frequent flyer decades loyal customer. find travelling 11 hours economy without even possibility refund let alone upgrade. completely unacceptable. happened company? better treatment ryanair.",Negative
"would happily fly again. personal emergency allowed reschedule flights free charge. onboard service lhr-ist frills, jfk-lhr impeccable: good food, lots movies/cds ife, open bar service entire flight. friendly flight attendants always happy provide extra drink/snack.",Positive
"first morning flight cancelled moved afternoon flight, understanding sometimes situations unavoidable, however lost us one day's experience cairo. quite upset got onto plane squashed regular seats, flights. husband spasms, stretch legs across lap, attendants ask okay clearly struggling. service came us food, choice made told, settle left. correct thing home sent complaints. responded $100 pound voucher group.",Negative
"although bit uncomfortable flight economy, flight attendants made flight best possibly could. nice professional crew. attentive looking customers.",Positive
"boarding decently organised. a380 still rather strange configuration club world neighbour sitting opposite position. a380 nearly full, rather poor amenity bag. welcome drink ok rather long waiting aperitive made pantry. meal ok great, aside champagne european wines flight. service friendly rather slow, spontaneous refills drinks offered. acceptable continental style breakfast. extremely narrow restrooms without lotions similar. acceptable experience, nothing more. landing 50 minutes waiting luggage labelled priority.",Negative
"boarding time departure time flight london heathrow ok, a320 rather narrow seats. business light meal caesars salad, mousse sweet choice drinks - nothing wrong short flight. fa's friendly landing time.",Positive
"original flight cancelled 2 weeks actual flight although alternative flights available, british airways affected trip planned. feels like ba favour passengers rather paid deliver service.",Negative
delayed change. poor communication. british airways sells premium prices flight tickets delivers better low cost airline. customer service impossible contact seems ba tries hard hide possible email communication address available.,Negative
"competent check staff, saw problem left arm insisted could take exit seat. moved row 30 middle seat empty. hand board - huge line toilets - 45 min 2.30 min flight crew member realised one toilets closed - crew put luggage there. announced could serve hot drinks flight bear service slow. asking why: ""they give us enough cups hot drinks. card machine working fill credit card slip"". bottle water nutrigrain bar.",Negative
"check slow, self check bag drop. boarding ok, flight totally full. booked row 9 ok. space overhead bins. seat legroom ok. cabin crew ok, smiled, gave bottle water pretzels. flight ok, landed 25 mins early waited 30 minutes stand ground crew. bags came reasonably quickly. ba still seems believe something special, premium carrier. reality not. reason flew ba got virtually free tickets flights cancelled last year. ba carrier last choice.",Negative
